key1,type1,key2,type2,relation_name
29464797589,1,DU-0244,4,2016-07-25
47453823176,1,YA-3810,4,2016-12-25
24830027554,1,YA-3810,4,2016-06-17
93286775963,1,LX-3314,4,2019-10-27
94047881695,1,MH-3565,4,2016-10-29
14422219081,1,LX-3314,4,2016-11-15
76324461571,1,JQ-6452,4,2021-05-16
57319371994,1,YA-3810,4,2017-09-06
48961207224,1,SL-4814,4,2020-07-24
06256944768,1,JQ-6452,4,2015-11-24
25154986913,1,IH-3599,4,2020-05-01
83843103841,1,DU-0244,4,2020-11-10
64554964648,1,RW-1551,4,2015-08-10
48917542229,1,MH-3565,4,2017-06-24
58023579547,1,MH-3565,4,2021-10-10
12370709950,1,YA-3810,4,2022-06-07
54806091737,1,DU-0244,4,2019-04-06
61723941065,1,DU-2773,4,2018-11-21
26296258644,1,MH-3565,4,2016-07-02
18338945257,1,DU-2773,4,2018-04-12
84518026238,1,LX-3314,4,2017-05-24
36094992266,1,DU-0244,4,2016-04-14
64927243271,1,SL-4814,4,2015-03-12
85200646306,1,QO-5860,4,2018-02-10
19821104738,1,MH-3565,4,2015-09-16
57319371994,1,JQ-6452,4,2019-09-07
46538465022,1,QO-5860,4,2022-09-06
53502918364,1,RW-1551,4,2017-09-18
49529264974,1,QO-5860,4,2020-03-25
29464797589,1,QO-5860,4,2022-01-15
70063113338,1,LX-3314,4,2017-11-09
67547518568,1,QO-5860,4,2019-05-12
04696254255,1,IH-3599,4,2018-06-24
47453823176,1,MH-3565,4,2019-08-15
18493870940,1,JQ-6452,4,2018-08-18
75046780595,1,LX-3314,4,2016-06-30
34453096748,1,JQ-6452,4,2016-07-24
37839967199,1,LX-3314,4,2018-11-02
97177659667,1,DU-2773,4,2015-08-28
22989093679,1,YA-3810,4,2022-02-23
19802461223,1,SL-4814,4,2015-11-07
44019163648,1,SL-4814,4,2020-06-23
86681237001,1,SL-4814,4,2016-05-12
58023579547,1,LX-3314,4,2016-03-01
75046780595,1,RW-1551,4,2016-04-08
34453096748,1,RW-1551,4,2015-07-08
71433629276,1,RW-1551,4,2016-04-23
35960609716,1,RW-1551,4,2018-06-19
51695704557,1,IH-3599,4,2016-03-20
32134674316,1,MH-3565,4,2018-03-02
31482529556,1,RW-1551,4,2018-04-04
05255120716,1,JQ-6452,4,2021-01-31
41253810434,1,DU-0244,4,2018-05-21
31482529556,1,MH-3565,4,2015-09-21
42632573397,1,MH-3565,4,2016-10-10
49747956895,1,JQ-6452,4,2019-05-17
64359498278,1,RW-1551,4,2015-08-14
65506351351,1,LX-3314,4,2020-09-30
40321832051,1,JQ-6452,4,2021-08-25
58023579547,1,YA-3810,4,2015-12-04
18523098187,1,DU-2773,4,2018-10-08
63588843433,1,QO-5860,4,2016-04-10
84361300635,1,IH-3599,4,2018-03-28
09198590627,1,RW-1551,4,2021-02-06
25154986913,1,MH-3565,4,2022-02-02
20510103443,1,RW-1551,4,2022-01-04
19419890564,1,LX-3314,4,2021-07-31
11127811618,1,YA-3810,4,2018-12-20
19169475580,1,MH-3565,4,2018-04-06
70435201098,1,IH-3599,4,2016-05-28
46513474271,1,YA-3810,4,2016-10-01
43191390712,1,IH-3599,4,2016-04-20
58559777954,1,RW-1551,4,2021-08-29
68941703739,1,DU-0244,4,2018-11-28
95725372987,1,JQ-6452,4,2020-04-21
29741855004,1,LX-3314,4,2020-05-14
22989093679,1,SL-4814,4,2017-06-19
15822497948,1,DU-2773,4,2018-03-29
58722202265,1,DU-0244,4,2018-04-05
33040299457,1,DU-2773,4,2019-05-21
16037442276,1,MH-3565,4,2016-04-24
25154986913,1,RW-1551,4,2016-08-14
90971416905,1,MH-3565,4,2022-05-05
55884540075,1,DU-2773,4,2018-04-25
28187564312,1,YA-3810,4,2017-03-20
84345917000,1,MH-3565,4,2017-05-01
88439186021,1,RW-1551,4,2018-05-19
94123486972,1,YA-3810,4,2016-06-12
19237188472,1,JQ-6452,4,2015-08-24
52822014074,1,DU-2773,4,2015-12-05
54806091737,1,JQ-6452,4,2018-11-12
75256818047,1,SL-4814,4,2021-06-15
