key1,type1,key2,type2,relation_name
37375957591,1,Samsun,7,2015-09-17
20966309847,1,Rize,7,2022-01-07
34351564040,1,Ankara,7,2020-04-23
82246942155,1,Rize,7,2017-05-27
40321832051,1,Ankara,7,2021-03-18
20510103443,1,Rize,7,2019-12-01
29205525161,1,Samsun,7,2022-08-23
84345917000,1,Rize,7,2018-03-21
42822224267,1,Erzincan,7,2015-10-06
95725372987,1,İstanbul,7,2020-05-17
25154986913,1,Erzincan,7,2019-10-01
84518026238,1,Ankara,7,2019-07-24
85462596160,1,İstanbul,7,2015-05-31
85200646306,1,Rize,7,2022-03-06
58023579547,1,Samsun,7,2018-12-07
19997769076,1,Samsun,7,2015-04-20
96602117969,1,Rize,7,2017-09-10
65727899609,1,Rize,7,2020-03-08
07384997433,1,Ankara,7,2016-06-01
41347579846,1,Rize,7,2019-12-17
94032908610,1,İstanbul,7,2021-08-14
71692399407,1,Rize,7,2020-08-09
16709141095,1,Rize,7,2022-05-09
75795423175,1,Erzincan,7,2021-08-18
57735688194,1,Samsun,7,2018-08-27
22989093679,1,Ankara,7,2020-04-26
90971416905,1,Samsun,7,2018-03-13
39613868053,1,Samsun,7,2021-06-05
34351564040,1,Ankara,7,2020-06-25
64128029506,1,Rize,7,2017-09-07
68307298782,1,Samsun,7,2019-04-30
80828962705,1,Ankara,7,2022-07-14
15073170327,1,Erzincan,7,2020-05-20
94792716849,1,İstanbul,7,2019-09-23
35595902815,1,Samsun,7,2016-02-29
37375957591,1,Ankara,7,2017-09-28
29464797589,1,İstanbul,7,2015-11-13
20966309847,1,Ankara,7,2015-01-25
93286775963,1,İstanbul,7,2022-03-31
83272279673,1,Rize,7,2022-03-13
97592279372,1,Erzincan,7,2016-07-20
35960609716,1,Erzincan,7,2018-10-16
39466165740,1,Erzincan,7,2019-11-05
97177659667,1,Ankara,7,2015-03-06
13255606863,1,İstanbul,7,2018-11-21
11862358637,1,İstanbul,7,2015-02-22
23480852749,1,Rize,7,2019-12-02
54962146552,1,Ankara,7,2015-04-30
18523098187,1,Erzincan,7,2016-10-07
96268315627,1,Erzincan,7,2015-10-20
49747956895,1,Rize,7,2022-09-09
51684020641,1,Samsun,7,2019-04-10
19419890564,1,Erzincan,7,2020-05-21
49279201821,1,Samsun,7,2016-04-06
25143716542,1,Ankara,7,2022-03-05
53065031222,1,Erzincan,7,2016-09-09
96268315627,1,İstanbul,7,2017-01-10
71138841036,1,Samsun,7,2019-06-03
85200646306,1,Erzincan,7,2017-05-24
39406453055,1,İstanbul,7,2019-08-22
42627860502,1,Samsun,7,2015-06-03
31189323804,1,Rize,7,2018-06-02
23964879917,1,İstanbul,7,2016-07-25
19821104738,1,Erzincan,7,2020-03-19
49747956895,1,İstanbul,7,2021-12-17
71285653247,1,İstanbul,7,2017-07-07
43942030950,1,Rize,7,2022-04-06
24830027554,1,İstanbul,7,2018-06-23
71138841036,1,İstanbul,7,2016-11-05
05255120716,1,Erzincan,7,2020-08-26
19387871216,1,Erzincan,7,2021-02-08
26303427948,1,Erzincan,7,2021-08-08
35065526401,1,Ankara,7,2020-01-13
48576203623,1,Ankara,7,2022-08-14
